Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2006","2006","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2007","2007","1000 ha","30180","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2007","2007","1000 ha","833","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2007","2007","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2008","2008","1000 ha","29460","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2008","2008","1000 ha","853","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2008","2008","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2009","2009","1000 ha","29420","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2009","2009","1000 ha","857","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2009","2009","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2010","2010","1000 ha","29390","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2010","2010","1000 ha","852","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2010","2010","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2011","2011","1000 ha","30100","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2011","2011","1000 ha","836","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2011","2011","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2012","2012","1000 ha","30240","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2012","2012","1000 ha","823","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2012","2012","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2013","2013","1000 ha","30470","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2013","2013","1000 ha","810","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2013","2013","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2014","2014","1000 ha","30440","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2014","2014","1000 ha","812","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2014","2014","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2015","2015","1000 ha","30400","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2015","2015","1000 ha","802","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2016","2016","1000 ha","30990","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2016","2016","1000 ha","804","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2016","2016","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2017","2017","1000 ha","31210","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2017","2017","1000 ha","793","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2017","2017","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2018","2018","1000 ha","31160","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2018","2018","1000 ha","793","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2018","2018","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2019","2019","1000 ha","30530","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2019","2019","1000 ha","744","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2019","2019","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2020","2020","1000 ha","30930","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2020","2020","1000 ha","743","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2021","2021","1000 ha","30280","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2021","2021","1000 ha","734","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2021","2021","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2022","2022","1000 ha","30230","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2022","2022","1000 ha","717","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2022","2022","1000 ha","5000","I","Imputed value",""
